"idx","dateOf","timeCriterium","highOrLow","swingPrice","swingRange","swingTB","swingCD","keyToMarketData","ticker"
1,#1965-01-15#,5,2,278.82,0,0,0,2,"^CAC"
2,#1965-02-19#,5,1,258.46,-20.36002,6,35,8,"^CAC"
3,#1965-04-02#,5,2,279.65,21.19,5,42,13,"^CAC"
4,#1965-07-23#,5,1,246.1,-33.54999,16,112,29,"^CAC"
5,#1966-01-28#,5,2,285.81,39.70999,27,189,56,"^CAC"
6,#1966-10-21#,5,1,224.92,-60.89,37,266,93,"^CAC"
7,#1966-11-25#,5,2,242.69,17.77,5,35,98,"^CAC"
8,#1967-08-04#,5,1,197.17,-45.52,36,252,134,"^CAC"
9,#1967-09-22#,5,2,245.39,48.22,7,49,141,"^CAC"
10,#1968-01-05#,5,1,222.78,-22.61,15,105,156,"^CAC"
11,#1968-05-10#,5,2,264.87,42.09,18,126,174,"^CAC"
12,#1968-07-12#,5,1,223.66,-41.20999,7,63,181,"^CAC"
13,#1968-09-06#,5,2,241.43,17.76999,8,56,189,"^CAC"
14,#1968-11-15#,5,1,227.9,-13.53,10,70,199,"^CAC"
15,#1969-01-21#,5,2,259.84,31.94,20,67,219,"^CAC"
16,#1969-01-28#,5,1,257.87,-1.970001,5,7,224,"^CAC"
17,#1969-02-18#,5,2,283.54,25.67001,15,21,239,"^CAC"
18,#1969-02-26#,5,1,268.64,-14.89999,6,8,245,"^CAC"
19,#1969-03-31#,5,2,309.49,40.84998,23,33,268,"^CAC"
20,#1969-04-15#,5,1,284.49,-25,9,15,277,"^CAC"
21,#1969-05-02#,5,2,315.83,31.34,12,17,289,"^CAC"
22,#1969-05-14#,5,1,303.6,-12.22998,8,12,297,"^CAC"
23,#1969-06-02#,5,2,317.8,14.19998,12,19,309,"^CAC"
24,#1969-07-30#,5,1,275.17,-42.62997,41,58,350,"^CAC"
25,#1969-08-11#,5,2,306.56,31.38998,8,12,358,"^CAC"
26,#1969-08-27#,5,1,288.77,-17.79001,11,16,369,"^CAC"
27,#1969-09-04#,5,2,293.53,4.76001,6,8,375,"^CAC"
28,#1969-09-15#,5,1,285.32,-8.209991,7,11,382,"^CAC"
29,#1969-11-03#,5,2,308.96,23.63998,35,49,417,"^CAC"
30,#1969-11-26#,5,1,296.28,-12.67999,16,23,433,"^CAC"
31,#1970-01-06#,5,2,316.34,20.06,28,41,461,"^CAC"
32,#1970-01-13#,5,1,313.98,-2.359985,5,7,466,"^CAC"
33,#1970-01-29#,5,2,325.33,11.34998,12,16,478,"^CAC"
34,#1970-03-24#,5,1,303.63,-21.69998,38,54,516,"^CAC"
35,#1970-04-07#,5,2,308.78,5.149994,8,14,524,"^CAC"
36,#1970-07-07#,5,1,270.03,-38.75,63,91,587,"^CAC"
37,#1970-08-03#,5,2,290.42,20.39001,17,27,604,"^CAC"
38,#1970-08-12#,5,1,285.01,-5.410004,7,9,611,"^CAC"
39,#1970-08-25#,5,2,293.62,8.609985,9,13,620,"^CAC"
40,#1970-09-21#,5,1,280.45,-13.16998,19,27,639,"^CAC"
41,#1970-10-06#,5,2,289.63,9.179993,11,15,650,"^CAC"
42,#1970-11-02#,5,1,281.28,-8.350006,19,27,669,"^CAC"
43,#1970-11-10#,5,2,288,6.720001,6,8,675,"^CAC"
44,#1970-12-08#,5,1,280.19,-7.809998,20,28,695,"^CAC"
45,#1971-01-27#,5,2,300.23,20.04001,34,50,729,"^CAC"
46,#1971-03-03#,5,1,293.51,-6.720001,22,35,751,"^CAC"
47,#1971-03-10#,5,2,295.94,2.429993,5,7,756,"^CAC"
48,#1971-03-23#,5,1,289.16,-6.779999,9,13,765,"^CAC"
49,#1971-04-07#,5,2,297.71,8.549988,11,15,776,"^CAC"
50,#1971-05-06#,5,1,290.17,-7.539978,19,29,795,"^CAC"
51,#1971-06-01#,5,2,302.63,12.45999,17,26,812,"^CAC"
52,#1971-06-11#,5,1,298.08,-4.550018,8,10,820,"^CAC"
53,#1971-06-18#,5,2,298.94,.8600159,5,7,825,"^CAC"
54,#1971-07-20#,5,1,293.73,-5.209991,22,32,847,"^CAC"
55,#1971-08-02#,5,2,302.69,8.959991,8,13,855,"^CAC"
56,#1971-10-11#,5,1,256.93,-45.76001,49,70,904,"^CAC"
57,#1971-10-19#,5,2,265.55,8.619995,6,8,910,"^CAC"
58,#1971-11-08#,5,1,241.14,-24.40999,13,20,923,"^CAC"
59,#1971-12-03#,5,2,267.21,26.06999,19,25,942,"^CAC"
60,#1971-12-23#,5,1,259.11,-8.100006,14,20,956,"^CAC"
61,#1972-01-07#,5,2,275.31,16.20001,11,15,967,"^CAC"
62,#1972-01-17#,5,1,268.14,-7.169983,6,10,973,"^CAC"
63,#1972-01-28#,5,2,273.75,5.609985,9,11,982,"^CAC"
64,#1972-02-09#,5,1,269.49,-4.26001,8,12,990,"^CAC"
65,#1972-03-02#,5,2,289.11,19.62,16,22,1006,"^CAC"
66,#1972-03-15#,5,1,283.9,-5.209991,8,13,1014,"^CAC"
67,#1972-04-20#,5,2,320.99,37.09,23,36,1037,"^CAC"
68,#1972-04-28#,5,1,314.82,-6.169983,5,8,1042,"^CAC"
69,#1972-05-26#,5,2,333.25,18.42999,17,28,1059,"^CAC"
70,#1972-06-26#,5,1,309.38,-23.87,21,31,1080,"^CAC"
71,#1972-08-25#,5,2,345,35.62,41,60,1121,"^CAC"
72,#1972-09-19#,5,1,335.93,-9.070007,17,25,1138,"^CAC"
73,#1972-10-05#,5,2,346.32,10.39001,12,16,1150,"^CAC"
74,#1972-10-18#,5,1,335.17,-11.14999,9,13,1159,"^CAC"
75,#1972-10-27#,5,2,340.54,5.369995,7,9,1166,"^CAC"
76,#1972-11-06#,5,1,327.54,-13,5,10,1171,"^CAC"
77,#1972-11-13#,5,2,343.37,15.82999,5,7,1176,"^CAC"
78,#1972-12-18#,5,1,302.02,-41.35001,25,35,1201,"^CAC"
79,#1973-01-24#,5,2,331.45,29.43002,25,37,1226,"^CAC"
80,#1973-02-12#,5,1,312.87,-18.58002,13,19,1239,"^CAC"
81,#1973-04-11#,5,2,361.66,48.79001,38,58,1277,"^CAC"
82,#1973-04-18#,5,1,356.08,-5.580017,5,7,1282,"^CAC"
83,#1973-05-07#,5,2,379,22.92001,10,19,1292,"^CAC"
84,#1973-05-16#,5,1,362.7,-16.29999,7,9,1299,"^CAC"
85,#1973-05-28#,5,2,374.5,11.79999,8,12,1307,"^CAC"
86,#1973-06-05#,5,1,355.05,-19.45001,5,8,1312,"^CAC"
87,#1973-06-25#,5,2,363.44,8.390015,13,20,1325,"^CAC"
88,#1973-07-19#,5,1,333.16,-30.28,18,24,1343,"^CAC"
89,#1973-08-01#,5,2,342.67,9.51001,9,13,1352,"^CAC"
90,#1973-08-22#,5,1,324.97,-17.70001,14,21,1366,"^CAC"
91,#1973-09-14#,5,2,331.57,6.600006,17,23,1383,"^CAC"
92,#1973-09-21#,5,1,323.21,-8.360016,5,7,1388,"^CAC"
93,#1973-10-29#,5,2,342.73,19.52002,26,38,1414,"^CAC"
94,#1973-12-10#,5,1,277.58,-65.15002,28,42,1442,"^CAC"
95,#1974-01-24#,5,2,325.32,47.74002,29,45,1471,"^CAC"
96,#1974-02-08#,5,1,307.64,-17.67999,11,15,1482,"^CAC"
97,#1974-03-07#,5,2,316.52,8.879974,19,27,1501,"^CAC"
98,#1974-07-04#,5,1,230.94,-85.57999,55,119,1556,"^CAC"
99,#1974-07-26#,5,2,253.22,22.28,16,22,1572,"^CAC"
100,#1974-08-06#,5,1,244.06,-9.160004,7,11,1579,"^CAC"
101,#1974-08-13#,5,2,246.89,2.830002,5,7,1584,"^CAC"
102,#1974-09-27#,5,1,189.27,-57.62,32,45,1616,"^CAC"
103,#1974-10-16#,5,2,207.63,18.36,13,19,1629,"^CAC"
104,#1974-10-25#,5,1,196.06,-11.57001,7,9,1636,"^CAC"
105,#1974-11-22#,5,2,205.99,9.930008,18,28,1654,"^CAC"
106,#1974-12-18#,5,1,197.72,-8.270004,17,26,1671,"^CAC"
107,#1975-02-10#,5,2,248.69,50.97,36,54,1707,"^CAC"
108,#1975-02-18#,5,1,237.46,-11.23,6,8,1713,"^CAC"
109,#1975-04-23#,5,2,280.71,43.24998,44,64,1757,"^CAC"
110,#1975-06-30#,5,1,246.32,-34.38998,44,68,1801,"^CAC"
111,#1975-07-29#,5,2,264.34,18.01999,20,29,1821,"^CAC"
112,#1975-08-06#,5,1,259.08,-5.26001,6,8,1827,"^CAC"
113,#1975-09-04#,5,2,266.4,7.320007,20,29,1847,"^CAC"
114,#1975-09-17#,5,1,253.83,-12.56999,9,13,1856,"^CAC"
115,#1975-10-27#,5,2,263,9.169998,27,40,1883,"^CAC"
116,#1975-11-03#,5,1,259.04,-3.959991,5,7,1888,"^CAC"
117,#1975-11-12#,5,2,264.63,5.589996,7,9,1895,"^CAC"
118,#1975-11-20#,5,1,261.88,-2.75,6,8,1901,"^CAC"
119,#1975-12-01#,5,2,274.07,12.19,7,11,1908,"^CAC"
120,#1975-12-23#,5,1,268.01,-6.059998,16,22,1924,"^CAC"
121,#1976-01-09#,5,2,279.45,11.44,11,17,1935,"^CAC"
122,#1976-01-29#,5,1,272.64,-6.809998,14,20,1949,"^CAC"
123,#1976-03-10#,5,2,289.36,16.71997,29,41,1978,"^CAC"
124,#1976-04-21#,5,1,260.08,-29.28,29,42,2007,"^CAC"
125,#1976-04-28#,5,2,264.94,4.860016,5,7,2012,"^CAC"
126,#1976-05-17#,5,1,257.03,-7.910004,13,19,2025,"^CAC"
127,#1976-06-03#,5,2,267.43,10.39999,12,17,2037,"^CAC"
128,#1976-06-11#,5,1,261.4,-6.029999,5,8,2042,"^CAC"
