"idx","dateOf","timeCriterium","highOrLow","swingPrice","swingRange","swingTB","swingCD","keyToMarketData","ticker"
1,#1959-09-30#,5,2,375.31,0,0,0,3,"^DAX"
2,#1959-10-19#,5,1,328.49,-46.82001,12,19,15,"^DAX"
3,#1960-01-04#,5,2,426.08,97.59,50,77,65,"^DAX"
4,#1960-01-20#,5,1,412.21,-13.87,12,16,77,"^DAX"
5,#1960-02-08#,5,2,429.95,17.74002,13,19,90,"^DAX"
6,#1960-03-11#,5,1,394.84,-35.11002,24,32,114,"^DAX"
7,#1960-04-19#,5,2,432.74,37.89999,25,39,139,"^DAX"
8,#1960-04-26#,5,1,426.71,-6.029999,5,7,144,"^DAX"
9,#1960-07-04#,5,2,557.52,130.81,44,69,188,"^DAX"
10,#1960-07-19#,5,1,516.5,-41.02002,11,15,199,"^DAX"
11,#1960-09-06#,5,2,603.79,87.28998,35,49,234,"^DAX"
12,#1960-11-22#,5,1,518.32,-85.46997,54,77,288,"^DAX"
13,#1960-12-02#,5,2,548.33,30.01001,8,10,296,"^DAX"
14,#1960-12-16#,5,1,517.2,-31.13,10,14,306,"^DAX"
15,#1961-01-02#,5,2,536.32,19.12,10,17,316,"^DAX"
16,#1961-01-13#,5,1,514.86,-21.46002,9,11,325,"^DAX"
17,#1961-01-23#,5,2,537.77,22.91003,6,10,331,"^DAX"
18,#1961-02-06#,5,1,508.68,-29.09003,10,14,341,"^DAX"
19,#1961-03-03#,5,2,548.07,39.39001,19,25,360,"^DAX"
20,#1961-03-23#,5,1,515.34,-32.72998,14,20,374,"^DAX"
21,#1961-04-14#,5,2,544.13,28.78998,14,22,388,"^DAX"
22,#1961-04-24#,5,1,533.9,-10.22998,6,10,394,"^DAX"
23,#1961-06-06#,5,2,591.48,57.57996,27,43,421,"^DAX"
24,#1961-07-20#,5,1,498.87,-92.60999,32,44,453,"^DAX"
25,#1961-08-03#,5,2,542.9,44.03003,10,14,463,"^DAX"
26,#1961-09-06#,5,1,455.98,-86.92001,24,34,487,"^DAX"
27,#1961-09-15#,5,2,495.52,39.53998,7,9,494,"^DAX"
28,#1961-09-28#,5,1,477.07,-18.44998,9,13,503,"^DAX"
29,#1961-11-13#,5,2,530.81,53.73999,32,46,535,"^DAX"
30,#1961-12-18#,5,1,485.66,-45.14999,24,35,559,"^DAX"
31,#1962-01-02#,5,2,494.7,9.040009,8,15,567,"^DAX"
32,#1962-01-09#,5,1,473.72,-20.98001,5,7,572,"^DAX"
33,#1962-01-16#,5,2,490.83,17.10999,5,7,577,"^DAX"
34,#1962-02-06#,5,1,470.38,-20.44998,15,21,592,"^DAX"
35,#1962-02-13#,5,2,480.6,10.22,5,7,597,"^DAX"
36,#1962-02-27#,5,1,469.45,-11.14999,10,14,607,"^DAX"
37,#1962-03-06#,5,2,481.24,11.78998,5,7,612,"^DAX"
38,#1962-03-26#,5,1,444.68,-36.56,14,20,626,"^DAX"
39,#1962-04-02#,5,2,470.82,26.14001,5,7,631,"^DAX"
40,#1962-04-11#,5,1,448.95,-21.87,7,9,638,"^DAX"
41,#1962-04-24#,5,2,458.59,9.639984,7,13,645,"^DAX"
42,#1962-08-07#,5,1,342.58,-116.01,70,105,715,"^DAX"
43,#1962-08-16#,5,2,394.21,51.63,7,9,722,"^DAX"
44,#1962-10-12#,5,1,319.86,-74.35001,41,57,763,"^DAX"
45,#1962-11-30#,5,2,404.14,84.28003,34,49,797,"^DAX"
46,#1963-01-15#,5,1,361.85,-42.29001,29,46,826,"^DAX"
47,#1963-01-23#,5,2,373.71,11.85999,6,8,832,"^DAX"
48,#1963-02-25#,5,1,346.67,-27.03998,23,33,855,"^DAX"
49,#1963-03-08#,5,2,364.86,18.18997,9,11,864,"^DAX"
50,#1963-03-18#,5,1,357.09,-7.769989,6,10,870,"^DAX"
51,#1963-05-13#,5,2,442.56,85.47,37,56,907,"^DAX"
52,#1963-05-21#,5,1,417.12,-25.44,6,8,913,"^DAX"
53,#1963-06-04#,5,2,437.5,20.38,8,14,921,"^DAX"
54,#1963-07-02#,5,1,419.98,-17.51999,17,28,938,"^DAX"
55,#1963-07-29#,5,2,435.82,15.84,19,27,957,"^DAX"
