"idx","dateOf","timeCriterium","highOrLow","swingPrice","swingRange","swingTB","swingCD","keyToMarketData","ticker"
1,#1900-01-01#,5,2,49.34,0,0,0,1,"^DJI"
2,#1900-01-10#,5,1,45.82,-3.52,7,9,8,"^DJI"
3,#1900-02-04#,5,2,49.51,3.689999,17,25,25,"^DJI"
4,#1900-03-09#,5,1,44.26,-5.25,22,33,47,"^DJI"
5,#1900-04-06#,5,2,47.91,3.650002,20,28,67,"^DJI"
6,#1900-05-15#,5,1,41.01,-6.900002,26,39,93,"^DJI"
7,#1900-06-01#,5,2,43.01,2,12,17,105,"^DJI"
8,#1900-06-25#,5,1,38.88,-4.129997,16,24,121,"^DJI"
9,#1900-07-23#,5,2,42.75,3.869999,19,28,140,"^DJI"
10,#1900-07-31#,5,1,41.14,-1.610001,6,8,146,"^DJI"
11,#1900-08-15#,5,2,42.66,1.52,11,15,157,"^DJI"
12,#1900-08-28#,5,1,41.85,-.8100014,9,13,166,"^DJI"
13,#1900-09-05#,5,2,42.43,.5800018,5,8,171,"^DJI"
14,#1900-09-24#,5,1,38.36,-4.07,13,19,184,"^DJI"
15,#1900-10-24#,5,2,44.03,5.669998,22,30,206,"^DJI"
16,#1900-10-31#,5,1,42.76,-1.27,5,7,211,"^DJI"
17,#1900-11-20#,5,2,50.02,7.260002,13,20,224,"^DJI"
18,#1900-12-07#,5,1,46.48,-3.540001,12,17,236,"^DJI"
19,#1900-12-27#,5,2,51.45,4.970001,12,20,248,"^DJI"
20,#1901-01-21#,5,1,47.02,-4.43,16,25,264,"^DJI"
21,#1901-02-15#,5,2,51.26,4.239998,18,25,282,"^DJI"
22,#1901-02-28#,5,1,48.52,-2.739998,8,13,290,"^DJI"
23,#1901-05-01#,5,2,54.99,6.470001,43,62,333,"^DJI"
24,#1901-05-09#,5,1,48.8,-6.190002,6,8,339,"^DJI"
25,#1901-06-03#,5,2,56.3,7.5,16,25,355,"^DJI"
26,#1901-07-15#,5,1,50.31,-5.989998,28,42,383,"^DJI"
27,#1901-07-29#,5,2,52.83,2.52,10,14,393,"^DJI"
28,#1901-08-06#,5,1,50.01,-2.820004,6,8,399,"^DJI"
29,#1901-08-26#,5,2,53.47,3.460003,14,20,413,"^DJI"
30,#1901-10-07#,5,1,46.15,-7.32,28,42,441,"^DJI"
31,#1901-11-11#,5,2,48.18,2.029999,24,35,465,"^DJI"
32,#1901-12-12#,5,1,44.62,-3.560001,22,31,487,"^DJI"
33,#1902-01-06#,5,2,47,2.380001,15,25,502,"^DJI"
34,#1902-01-14#,5,1,45.32,-1.68,6,8,508,"^DJI"
35,#1902-01-28#,5,2,47.2,1.880001,10,14,518,"^DJI"
36,#1902-02-13#,5,1,46.77,-.4300003,11,16,529,"^DJI"
37,#1902-02-25#,5,2,47.46,.6899986,8,12,537,"^DJI"
38,#1902-03-04#,5,1,46.91,-.5499992,5,7,542,"^DJI"
39,#1902-03-21#,5,2,48.9,1.990002,13,17,555,"^DJI"
40,#1902-04-10#,5,1,47.76,-1.140003,13,20,568,"^DJI"
41,#1902-04-24#,5,2,49.57,1.810001,10,14,578,"^DJI"
42,#1902-05-19#,5,1,46.88,-2.689999,17,25,595,"^DJI"
43,#1902-05-26#,5,2,48.13,1.25,5,7,600,"^DJI"
44,#1902-06-24#,5,1,46.11,-2.02,20,29,620,"^DJI"
45,#1902-07-28#,5,2,48.73,2.619999,23,34,643,"^DJI"
46,#1902-08-21#,5,1,47.32,-1.41,18,24,661,"^DJI"
47,#1902-09-19#,5,2,49.08,1.760002,20,29,681,"^DJI"
48,#1902-10-07#,5,1,46.24,-2.84,12,18,693,"^DJI"
49,#1902-10-20#,5,2,48.22,1.98,9,13,702,"^DJI"
50,#1902-11-14#,5,1,43.9,-4.32,18,25,720,"^DJI"
51,#1902-11-21#,5,2,45.58,1.68,5,7,725,"^DJI"
52,#1902-12-15#,5,1,43.14,-2.440002,15,24,740,"^DJI"
53,#1903-01-08#,5,2,48.04,4.900002,16,24,756,"^DJI"
54,#1903-01-20#,5,1,46.49,-1.549999,8,12,764,"^DJI"
