"idx","dateOf","timeCriterium","highOrLow","swingPrice","swingRange","swingTB","swingCD","keyToMarketData","ticker"
1,#1900-01-01#,5,2,78.86,0,0,0,1,"^DJT"
2,#1900-01-10#,5,1,75.95,-2.910004,7,9,8,"^DJT"
3,#1900-01-21#,5,2,78,2.050003,7,11,15,"^DJT"
4,#1900-01-28#,5,1,76.96,-1.040001,5,7,20,"^DJT"
5,#1900-02-05#,5,2,80.51,3.550003,6,8,26,"^DJT"
6,#1900-03-08#,5,1,77.69,-2.82,20,31,46,"^DJT"
7,#1900-04-04#,5,2,82.65,4.959999,19,27,65,"^DJT"
8,#1900-05-14#,5,1,76.91,-5.739998,27,40,92,"^DJT"
9,#1900-06-01#,5,2,79.98,3.07,13,18,105,"^DJT"
10,#1900-06-25#,5,1,73.28,-6.700005,16,24,121,"^DJT"
11,#1900-07-23#,5,2,77.55,4.270004,19,28,140,"^DJT"
12,#1900-07-30#,5,1,75.75,-1.800003,5,7,145,"^DJT"
13,#1900-08-15#,5,2,78.06,2.309998,12,16,157,"^DJT"
14,#1900-08-28#,5,1,76.6,-1.459999,9,13,166,"^DJT"
15,#1900-09-12#,5,2,77.48,.8800049,10,15,176,"^DJT"
16,#1900-09-24#,5,1,73.77,-3.710007,8,12,184,"^DJT"
17,#1900-11-30#,5,2,88.88,15.11,47,67,231,"^DJT"
18,#1900-12-07#,5,1,87.26,-1.619995,5,7,236,"^DJT"
19,#1901-01-11#,5,2,97.18,9.919998,22,35,258,"^DJT"
20,#1901-01-24#,5,1,93.9,-3.279999,9,13,267,"^DJT"
21,#1901-02-06#,5,2,99.77,5.869995,9,13,276,"^DJT"
22,#1901-02-20#,5,1,97.11,-2.659996,9,14,285,"^DJT"
23,#1901-05-01#,5,2,117.86,20.75,48,70,333,"^DJT"
24,#1901-05-09#,5,1,103.37,-14.49,6,8,339,"^DJT"
25,#1901-05-17#,5,2,110.25,6.879997,6,8,345,"^DJT"
26,#1901-05-27#,5,1,108.53,-1.720001,6,10,351,"^DJT"
27,#1901-06-04#,5,2,115.69,7.160004,5,8,356,"^DJT"
28,#1901-07-22#,5,1,105.81,-9.880005,32,48,388,"^DJT"
29,#1901-07-29#,5,2,108.33,2.520004,5,7,393,"^DJT"
30,#1901-08-05#,5,1,104.86,-3.470001,5,7,398,"^DJT"
31,#1901-08-26#,5,2,111.69,6.830002,15,21,413,"^DJT"
32,#1901-09-13#,5,1,105.3,-6.389999,13,18,426,"^DJT"
33,#1901-11-22#,5,2,115.21,9.909996,48,70,474,"^DJT"
34,#1901-12-12#,5,1,110.08,-5.129997,13,20,487,"^DJT"
35,#1902-01-02#,5,2,115.85,5.769997,13,21,500,"^DJT"
36,#1902-01-14#,5,1,111.73,-4.119995,8,12,508,"^DJT"
37,#1902-02-10#,5,2,115.88,4.149994,19,27,527,"^DJT"
38,#1902-02-20#,5,1,113.63,-2.25,7,10,534,"^DJT"
