"idx","dateOf","timeCriterium","highOrLow","swingPrice","swingRange","swingTB","swingCD","keyToMarketData","ticker"
1,#1971-01-05#,5,1,.535,0,0,0,2,"EURUSD"
2,#1971-03-03#,5,2,.5373,2.299964E-03,39,57,41,"EURUSD"
3,#1971-03-16#,5,1,.5367,-5.999804E-04,9,13,50,"EURUSD"
4,#1971-04-02#,5,2,.5373,5.999804E-04,13,17,63,"EURUSD"
5,#1971-04-19#,5,1,.5354,-1.900017E-03,11,17,74,"EURUSD"
6,#1971-05-21#,5,2,.557,2.160001E-02,24,32,98,"EURUSD"
7,#1971-06-01#,5,1,.5465,-1.049995E-02,6,11,104,"EURUSD"
8,#1971-08-12#,5,2,.576,2.949995E-02,51,72,155,"EURUSD"
9,#1971-08-20#,5,1,.5688,-7.200003E-03,6,8,161,"EURUSD"
10,#1971-09-23#,5,2,.589,2.020001E-02,23,34,184,"EURUSD"
11,#1971-11-10#,5,1,.5824,-6.599963E-03,31,48,215,"EURUSD"
12,#1971-12-06#,5,2,.6001,1.769996E-02,17,26,232,"EURUSD"
13,#1971-12-29#,5,1,.5946,-5.499959E-03,17,23,249,"EURUSD"
14,#1972-02-16#,5,2,.6178,2.319998E-02,35,49,284,"EURUSD"
15,#1972-02-25#,5,1,.6106,-7.200003E-03,6,9,290,"EURUSD"
16,#1972-03-09#,5,2,.618,7.399976E-03,9,13,299,"EURUSD"
17,#1972-03-17#,5,1,.5949,-2.309996E-02,6,8,305,"EURUSD"
18,#1972-04-03#,5,2,.6157,2.079999E-02,11,17,316,"EURUSD"
19,#1972-04-19#,5,1,.6104,-5.299985E-03,12,16,328,"EURUSD"
20,#1972-06-15#,5,2,.6166,6.199956E-03,40,57,368,"EURUSD"
21,#1972-08-21#,5,1,.6097,-6.899953E-03,46,67,414,"EURUSD"
22,#1972-09-07#,5,2,.6124,2.699971E-03,12,17,426,"EURUSD"
23,#1972-10-24#,5,1,.6067,-5.699992E-03,31,47,457,"EURUSD"
24,#1972-11-03#,5,2,.6095,2.799988E-03,8,10,465,"EURUSD"
25,#1972-11-17#,5,1,.6077,-1.800001E-03,9,14,474,"EURUSD"
26,#1972-12-01#,5,2,.6115,3.800035E-03,9,14,483,"EURUSD"
27,#1973-01-19#,5,1,.6068,-4.700005E-03,33,49,516,"EURUSD"
28,#1973-03-02#,5,2,.704,9.719998E-02,28,42,544,"EURUSD"
29,#1973-03-16#,5,1,.6884,-1.560003E-02,10,14,554,"EURUSD"
30,#1973-03-26#,5,2,.6909,2.500057E-03,6,10,560,"EURUSD"
31,#1973-04-03#,5,1,.682,-8.900046E-03,6,8,566,"EURUSD"
32,#1973-04-17#,5,2,.6908,8.80003E-03,10,14,576,"EURUSD"
33,#1973-05-07#,5,1,.6836,-7.200003E-03,14,20,590,"EURUSD"
34,#1973-07-06#,5,2,.862,.1784,42,60,632,"EURUSD"
35,#1973-08-16#,5,1,.7861,-7.590002E-02,29,41,661,"EURUSD"
36,#1973-09-20#,5,2,.8164,3.030002E-02,24,35,685,"EURUSD"
37,#1974-01-07#,5,1,.6762,-.1402,71,109,756,"EURUSD"
38,#1974-02-22#,5,2,.7336,5.740005E-02,32,46,788,"EURUSD"
39,#1974-03-01#,5,1,.7268,-6.799996E-03,5,7,793,"EURUSD"
40,#1974-03-28#,5,2,.7746,.0478,19,27,812,"EURUSD"
41,#1974-04-10#,5,1,.7563,-1.830006E-02,9,13,821,"EURUSD"
42,#1974-05-13#,5,2,.8139,5.760002E-02,23,33,844,"EURUSD"
43,#1974-05-29#,5,1,.7641,-4.979998E-02,11,16,855,"EURUSD"
44,#1974-06-06#,5,2,.7873,2.319998E-02,6,8,861,"EURUSD"
45,#1974-06-24#,5,1,.7565,-3.079998E-02,12,18,873,"EURUSD"
46,#1974-07-03#,5,2,.768,.0115,7,9,880,"EURUSD"
47,#1974-07-11#,5,1,.7609,-7.099986E-03,5,8,885,"EURUSD"
48,#1974-07-24#,5,2,.7777,1.679999E-02,9,13,894,"EURUSD"
49,#1974-09-05#,5,1,.7292,-.0485,30,43,924,"EURUSD"
50,#1975-01-07#,5,2,.8212,9.200001E-02,82,124,1006,"EURUSD"
51,#1975-01-14#,5,1,.8122,-9.000003E-03,5,7,1011,"EURUSD"
52,#1975-01-27#,5,2,.8474,.0352,9,13,1020,"EURUSD"
53,#1975-02-04#,5,1,.8191,-2.829999E-02,6,8,1026,"EURUSD"
54,#1975-03-03#,5,2,.8563,3.719997E-02,17,27,1043,"EURUSD"
55,#1975-04-14#,5,1,.8132,-.0431,30,42,1073,"EURUSD"
56,#1975-05-23#,5,2,.8367,2.350003E-02,29,39,1102,"EURUSD"
57,#1975-06-09#,5,1,.8308,-5.900025E-03,10,17,1112,"EURUSD"
58,#1975-06-16#,5,2,.8371,6.300032E-03,5,7,1117,"EURUSD"
59,#1975-08-12#,5,1,.753,-8.410001E-02,40,57,1157,"EURUSD"
60,#1975-08-19#,5,2,.7629,9.899974E-03,5,7,1162,"EURUSD"
61,#1975-09-23#,5,1,.73,-3.289998E-02,24,35,1186,"EURUSD"
62,#1975-11-03#,5,2,.7635,3.349996E-02,28,41,1214,"EURUSD"
63,#1975-12-15#,5,1,.7389,-2.459997E-02,27,42,1241,"EURUSD"
64,#1976-01-07#,5,2,.7509,1.199996E-02,15,23,1256,"EURUSD"
65,#1976-01-21#,5,1,.7471,-3.799975E-03,10,14,1266,"EURUSD"
66,#1976-02-11#,5,2,.7693,2.219999E-02,15,21,1281,"EURUSD"
67,#1976-03-12#,5,1,.7559,-1.339996E-02,20,30,1301,"EURUSD"
68,#1976-04-01#,5,2,.7718,1.589996E-02,14,20,1315,"EURUSD"
69,#1976-06-01#,5,1,.7515,-2.029997E-02,42,61,1357,"EURUSD"
70,#1976-06-09#,5,2,.7596,8.099973E-03,6,8,1363,"EURUSD"
71,#1976-07-12#,5,1,.7555,-4.099965E-03,22,33,1385,"EURUSD"
